,finnish,russian
1521,- Eivätkä puolet heistäkään.,"Кларк, всё, что ты видишь, лишь плод работы компьютера федералов."
1522,"Koska monet näistä 600000: sta raskauteen liittyvästä vuosittaisesta kuolemantapauksesta olisi voitu estää käyttämällä apuna asiantuntevia synnytysavustajia, YK:n lastenavun rahasto (Unicef) sekä Maailman terveysjärjestö (WHO) tähdentävät nyt naisten (sekä miesten) kouluttamista ammattitaitoisiksi kätilöiksi.",Я был трусом.
1523,Hän tuoksuu tosi hyvälle.,А теперь новая для меня информация...
1524,Susan Duncan?,"Сегодня вечером ты здорово получишь, большой мальчик."
1525,Minua ei enää ollut.,"Минус 3 презерватива, и еще 19"
1526,Myös muut kansat tiesivät Jumalan nimen.,Они не нужны. Нет.
1527,Oliko muita?,"Пока команда шла к чемпионству, я сидел на скамье."
1528,"Olen silti iloinen, että tapasin sinut.","Подвигнись, пробудись для суда моего, для тяжбы моей »."
1529,Otetaan Winter mukaan ja lähdetään.,Как-то Марис набрала столько баллов что их хватило на приватный концерт Тони Беннетта у нас на дому.
1530,"- Niin, miksi?","Он сказал, что она здесь? Если не соврал."
1531,Nyt hän yrittää saada pojasta kaiken irti.,"Противостойте ему твердою верою, зная, что такие же страдания случаются и с братьями вашими в мире."
1532,Minun pitää olla paikalla.,Это было ужасно.
1533,Tarkista se. Vilkaisen tuonne.,- Мы друзья Гэндальфа Серого.
1534,- Hauskaa joulua ja uutta vuotta.,Я не...
1535,Tulisit vain mukaan. Lähdetään siitä.,- Это что?
1536,Välitän vain yhdestä ihmisestä.,А ты как думал?
1537,Mitä teette täällä?,дом находится в красивейшем месте.
1538,"Mia, Oskarin sisko.",Особенно утешительным для меня было обещание Библии устранить бедность и болезни.
1539,Heitä ne kastikkeeseen.,"Ты такой вредный мужичок, да?"
1540,Ensimmäisen vuosisadan kristittyjen tavoin meidänkin täytyy varoa keskinäisiä kiistoja.,"ћой дед тоже оттуда. √ќ¬ќ–"""" ѕќ-""""јЋ№яЌ— """
1541,Olin 13-vuotias!,Спальня молодоженов.
1542,- Karsinnasta puhuen.,Твоё время ещё не пришло.
1543,- En tiedä.,"Пожалуйста, я цитирую:"
1544,"Voimmeko keskittyä siihen - että olin absintista tosi sekaisin ja sanoin stripparille ""ei""?","Мы отправим сигнал СОС, начнем переговоры об освобождении заложников. - Просто... - Джим."
1545,Vai aavistus!,"Хорошо, потому что Джей Ти все съел."
1546,"He halusivat, että tapaamme.",И так это знаешь. Я встречался с Кармен пару месяцев.
1547,"Se on iso kissa, joten soitin miehelle, jolla on kuormuri.",- Но ведь он вспомнил эти детали в суде.
1548,"Hei, kumppani, mitä meillä on seuraavaksi ohjelmassa?",Его возможности невозможно полностью оценить или... понять.
1549,"Täällä on tekniikkaa, turvallista ja jäljittämätöntä.","Ты отстаешь, Рэндалл. Может, подрегулировать клапан?"
1550,"En tarjoa apua siksi, että uskon sinun tarvitsevan vaan koska tiedän, ettet tarvitse.",Это не телефоны.
1551,b) Miksi meidän tulisi olla kiinnostuneita siitä?,Это не очень хорошее сочетание.
1552,Mutta...,"- Стерты, все верно."
1553,-Tämä ei ole juttu Kanesta.,- Люк.
1554,- Olisin pannut häntä.,Ответь!
1555,Rupitauti.,"Да, это вкусно."
1556,"Marssin sisään ja sanon ""hyvät herrat ja rouvat, katsotaan kuka on rauhallisin.",*** Что?
1557,Minulla ei ole autoa myytävänä.,"Спускаюсь я на лыжах, а у того парня инфаркт, и я спас ему жизнь."
1558,Mutta ei niin kuin hain purema.,Почему мы всегда заходим сзади?
1559,Kenet tapasit motellissa?,"Вскоре после этого на Елеонской горе четыре ученика спросили Иисуса: « Скажи нам, когда это будет? и какой признак Твоего пришествия [« присутствия », Н﻿  и кончины века? »."
1560,Tyttäreni on 20-vuotias. Hän on opiskelija.,Мы просим срочного рассмотрения прежде чем голосование закончится - примерно через 21 час.
1561,Viiltäjä-Jack tosiaan.,Что?
1562,Katso ja tee perässä. Jiihaa!,Но спасибо.
1563,Tulikärpänen!,"Ты же могла до этого, это очевидно. -Нет."
1564,- Minulle tapahtui jotakin outoa.,Он отец моего сына.
1565,Tiedätkö hänestä mitään?,"- Думала, ты ушел. - Я тебя ждал."
1566,- Olen valmiina.,Я просто подумала может... - у его мамы есть какие-нибудь предположения.
1567,Gina!,"Мне нужно сосредоточиться на этом. Ладно, ты прав."
1568,"Palvonnassa käytettävien naamioiden ja matkailuelinkeinoa varten veistettyjen jäljennösten välillä on tavallisesti suuri ero, koska kuvanveistäjän motivaatiossa on eroa.","Ќогти и волосы по всему полу, безжизненные лица, замазанные Ѕотоксом и косметикой."
1569,Syötkö ne perunat?,- Род деятельности? - Студент.
1570,- Kyllä.,Полиция ищет Джейсона?
1571,"Viikonloppuna myrskyää, joten ajan Kansas Cityyn huomenna.","Покажи ей ту сторону себя, которую больше никто не видит"
1572,Hyvää illanjatkoa!,"Она трахает тебе мозги. И я ответила, что от радости."
1573,Arvokas kolikko.,"Привет, папа."
1574,"Apostoli ilmeisesti kahlittiin kummallakin puolellaan olevaan sotilaaseen, samalla kun kaksi muuta sotilasta vartioitsi hänen vankikoppiaan.",Какой глаз?
1575,Kaikki näkemäsi on hallituksen tietokoneen luomusta.,Вы разговаривали с его партнером?
1576,Olin pelkuri.,Зачем выставлять чью-то слабость у всех на виду?
1577,"- Kerro jotain muuta, mitä en tiedä.",Я вас знаю.
1578,"Saat kärsiä tänä iltana, iso poika.",Ваши мамы не пекли шоколадное печенье?
1579,"Kolme kondomskia käytetty, yhdeksäntoista jäljellä.",Чем это может помочь?
1580,- Et tarvitse niitä.,Фигура в огне.
1581,"Katsoin sivusta, kun he voittivat sen.",Нет.
1582,Heräjä ja nouse – – hankkimaan minulle oikeutta ja ajamaan minun asiaani. ”,Ого!
1583,Kerran hän sai niin paljon että sai Tony Bennettin kotiimme laulamaan.,"Это был единственный раз, когда я видел, как кто-то, проблевавшись, трижды кланяется."
1584,- Täälläkö hän sanoi Naevian olevan?,"Эй, наша команда криминалистов собирала снимки крови с места преступления?"
1585,"Vastustakaa häntä lujina uskossa, tietäen, että samat kärsimykset täytyy teidän veljiennekin maailmassa kestää.",- Что ты делаешь?
1586,Minusta tein paskahomman.,Информация о приютах и материнских домахфинский
1587,-Olemme Gandalf Harmaan ystäviä.,- Это она?
1588,Minä en...,"У меня был... друг, у которого была девочка."
1589,Mikä tämä on?,"Лилли, посмотри на меня! Это я, Ричард!"
1590,- Mitä luulet?,Смотрите. Он не нашёл ничего съедобного. (Звук сигналa) (Смех)
1591,Muistakaa että te ostatte tähän mahtavaan naapurustoon.,Именно поэтому... Я взял их.
1592,"Erityisesti minua lohduttivat Raamatun lupaukset siitä, että köyhyys ja sairaudet poistettaisiin.","Мишель, не уходи."
1593,"Olet vähän pahantuulinen pikku-ukko, etkö olekin?","Нужно три года, чтобы изучишь всю трассу целиком ... а еще дольше, прежде чем придет уверенность, что ты готов выложиться здесь на все сто..."
1594,Sieltä isoisäni on kotoisin!,"Дэвид, я дoлжен тебе кoе-чтo сказать."
1595,Tässä on hääsviitti.,Ни одну из них не стоит слушать.
1596,Ei ole sinun aikasi.,У Энди всё хорошо? Да.
1597,Siteeraan:,Прискорбное недопонимание между нами.
1598,Aloitamme panttivankineuvottelut.,"Он останавливается, ставит машину на тормоз."
1599,"- Hyvä, sillä JT söi eväät.",Ѕлест€щий спектакль.
1600,- Tapailin Carmenia pari kuukautta.,Твоя любовь к нему превратилась в ненависть.
1601,- Hän muisti ne virheettä oikeudessa. Kyllä.,Бюро туристической информации города Оулу
1602,"Se omaa kykyjä, joita laitteemme eivät kykene mittaamaan. Me emme - kykene ymmärtämään niitä.",Что?
1603,"Olet vielä jäljessä Randall, ehkä...",Запомните на этот раз
1604,- Nuo laitteet eivät ole puhelimia.,Что не так?
1605,Se ei ole hyvä yhdistelmä.,Есть сигарета?
1606,- Ne on tosiaan pyyhitty.,"Ну, кажется это большая проблема тебе лучше остаться дома, понимаешь, и заботиться о брате и сестре потому что с собой в армиювы их взять не можете правильно?"
1607,Luke!,"Нет, нет, нет. Я справлюсь."
1608,Vastaa.,Раньше этой страницы тут не было.
1609,"Joo, se on maukasta.",Сколько людей из твоего взвода вышли оттуда живыми?
1610,Mitä?,Он не сдох. Он здесь. Чепуха.
1611,Lasken siis alas vuorta. Kaveri saa sydänkohtauksen siinä. Pelastin hänen henkensä.,- Верно. 4753 на Хильдебранд Роад.
1612,- Miksi me lähestymme takaapäin?,"Понимаешь, Грейсон пришёл посмотреть почему я задержалась."
1613,"Pian sen jälkeen neljä opetuslasta kysyi Jeesukselta heidän istuessaan Öljyvuorella: ” Sano meille: milloin nämä tapahtuvat, ja mikä tulee olemaan sinun läsnäolosi ja asiainjärjestelmän päättymisen tunnusmerkki? ”",И знаешь что?
1614,"Pyydämme, että asia tutkitaan ennen äänestyksen päättymistä.","Я сделаю всё что угодно, чтобы убедиться, что мой клиент получил шанс на успех."
1615,Mitä?,"И так случилось, что в центре города в караоке баре я замечаю этого ящерного демона, Мерла который иногда оказывает услуги вампиру с душой."
1616,"-Kiitos, mutta ei kiitos.","Бенни, я не могу его убить..."
1617,Olet pärjännyt tähänkin asti.,"Следует помнить: ни одно из наших достижений не идет ни в какое сравнение с тем, что сделал Иисус."
1618,Hän on poikani isä.,"Может, они передумают, через пару месяцев."
1619,"- Luulin, että lähdit.","Но я просто хочу быть уверен, что мы поговорим и о другом."
1620,"Mietin, että äiti voisi tietää...",Ладно. До завтра. Да.
1621,- Minun on keskityttävä tähän.,"- Вы использовали нашего агента под прикрытием, общающегося с Маликом."
1622,"- Kuinka tämä on seksikäs? Varpaankynsiä ja hiuksia lattialla, -","Если брак заканчивается смертью одного из супругов, супруги не наследуют имущество друг друга."
1623,-Olen opiskelija.,- Что он делает?
1624,Etsiikö poliisi häntä?,Это идеально.
1625,"Näytä hänelle jotakin, mitä muut eivät näe.","- Я пойду позвоню, ладно?"
1626,- Ja kerroin sen särkyvän onnesta.,- Какой?
1627,"Hei, Isä.",Если только C.Ш. не обозначает Сэнди Шоу.
1628,Mitä silmää?,Я работаю.
1629,- Partnerille? Se hän kai oli.,"Выгляни, он ожидает тебя , чтобы показать тебе то, что показывал мне"
1630,Jos sinulla olisi vaikka raudanpuute.,"Да, но как?"
1631,Tunnen sinut.,"И я знаю, ты думаешь он слишком молод для меня."
1632,Eivätkö äitinne ole tehneet teille suklaamurukeksejä?,"Просто я пытаюсь понять - где я, и что происходит."
1633,Auttaa missä?,Ты нужен нам с мамой И ты нужен Юлии..
1634,Hahmo tulessa.,Тысячи людей там приносят своё уважение.
1635,Eivät.,Да.
1636,Vau!,"- В пятницу ночью, после клуба у меня стояк."
1637,Ainoa kerta kun olen nähnyt jonkun kumartavan kolmesti oksentamisen päälle.,Разархивирование? Это невозможно.
1638,"Hei, ottavatko rikospaikkatutkijamme - ikinä verinäytteitä lasilevyille?",Девице в беде?
1639,- Mitä teet?,"Доктора сказали, это чудо, что я жив."
1640,Tietoa turvakodeista ja ensikodeistasuomi,"Но я рад, что в Детройт - Лейкс, где мы начинали как Свидетели Иеговы, у меня есть духовная семья, в которой насчитывается более 90 христианских братьев и сестер."
1641,- Onko hän syyllinen?,Начало
1642,"Minulla oli ystävä, - jolla oli pieni tyttö.","Мать, говорящая на японском:"
1643,"Katso minua, Lilly.",Поёбывал страшилку и курил кристаллы от приятеля Туко?
1644,Mutta kun se ei löytänyt mitään syötävää -- (Töräyttävä ääni) (Naurua),Ненавижу оставаться в одиночестве.
1645,Sitä varten minulla on nämä.,- Он попался с потрохами.
1646,- Älä mene. Hankkiudun eroon hänestä.,Понятия не имею.
1647,Radan oppiminen voi viedä kolme vuotta - ja vähintään toiset kolme vuotta kerätä rohkeus ajaa rajalle.,"Гавестон не найдёт ни союзников, ни убежища. Куда бы он не решил спрятаться, поверьте, ему там будут не рады."
1648,"David, minun pitää kertoa yksi juttu.",Увидимся завтра.
1649,Molemmat yhtä tylsiä.,Ты делаешь из мухи слона.
1650,"- On, älä huoli.",Потому что мы - викинги.
1651,Onneton väärinkäsitys. Hän...,- Вот именно.
1652,"Hän pysähtyy, parkkeeraa ja ammut.",Лучшие тела.
1653,Se oli loistava.,Император остановит тебя.
1654,Rakkautesi muuttui vihaksi.,Нет. Это была. моя идея.
1655,Oulun kaupungin matkailuneuvonta,"Суммы на самом деле настолько высоки, что мы можем предположить, что за это ответственен вампир."
1656,- Mitä?,А затем ты собираешь пройти по подиуму а все эти женщины будут делать на тебя ставки.
1657,Muistakaa tällä kertaa!,Ты уверен в этом?
1658,- Mitä se haittaa?,"[ Сведения об иллюстрации, страница 3]"
1659,Saanko tupakan?,"- Стой! Пит, нет!"
1660,"Kuulostaa suurelta haasteelta - hoitaa veljeänne ja siskoanne. Tiedätte, että ette voi ottaa heitä mukaan koulutukseen.",Зачем?
1661,Teen sen itse.,"По словам Эдуарда Берле, представителя Центрального Комитета Судовладельцев Франции, « в 1998 году убытки составили 16 миллиардов долларов."
1662,Tuota sivua ei ollut kirjassa aiemmin.,Скоро морфий заработает вновь.
1663,Montako joukkueesi miestä tuli takaisin hengissä?,- Нет?
1664,"- Max ei ole kuollut, hän on täällä.",Рассержены.
1665,- Kyllä. 4753 Hildebrand Road.,"Эл, Куки, держитесь у нас неприятности, полиция нашла машину Кайла брошенной на дороге в Бедфорд Пенсильвания, мы связались с Университетом, его там нет, он пропал."
1666,En tehnyt sitä tahallani.,"Думаю, я просто пойду домой."
1667,Anna kun arvaan.,"- А что, он не в курсе?"
1668,"Ja teen kaikkeni, jotta asiakkaani saavat reilun kohtelun.","Я думала, мы не разговариваем."
1669,"Ja karaokebaarissa kuulin liskodemoni Merlistä joka auttaa vampyyria, jolla on sielu.",Да?
1670,En pysty tappamaan häntä.,Целоваться - это преступление? Нет.
1671,"Muista, että mikään, mitä me voimme tehdä, ei vedä vertoja sille, mitä Jeesus teki.",Кто там?
1672,Olen pahoillani. Ehkä he harkitsevat asiaa uudelleen.,"Оказалось что он был женат на этой женщине, так что я заботился о ней."
1673,"Haluan vain, että puhumme kaikesta muusta.",Кто хороший мальчик?
1674,Nähdään huomenna.,ВИЗАНТИЙЦЫ
1675,"- Malik karkasi, koska salasitte tämän.","Возможно, я слегка переборщила, я знаю."
1676,"Jos avoliitto päättyy toisen kuolemaan, puolisot eivät peri toisiaan.",Полезно смешить людей.
1677,- Mitä hän tekee?,"Осторожнее, Фернандо."
1678,Täydellistä.,Факты.
1679,Tulin käyttämään puhelinta.,"Вот тут я сидел и смотрел ""Rawhide"" и ""Have Gun - Will Travel "" (вестерн-сериалы) Не смотрели сериалы эти?"
1680,- Teen mitä?,Кто это был?
1681,Ellei S.S. tarkoita Sandy Shaw'ta.,Я отвезла его в ваш офис час назад.
1682,- Teen töitä.,"Тупые укурки.
Это предоплатный телефон. Лаура активизировала его только шесть дней назад. Вряд ли она им пользовалась.
Привет, ковбой.
- Слышьте, если бы там были такие монашки, то я бы шестой класс всё же окончил, походу.
Конечно.
Ну да логично.
Ну, кто-то должен был.
Джимми, встань нормально. Это тебе понадобится потом. Давай же.
- Извини. - Ничего.
Они ели сэндвичи...
Это похоже на заговор.
Лучше вставай, сынок.
С чего это ты стал такой ранимый?
Мы нашли Агилара.
( Мексика), 1 / 10
Второй стих рассказывает нам, что он будет иметь « Дух Господень, дух премудрости и разума, дух совета и крепости ».
Помогите!
Хорошо, твоя машина.
Парочка друзей Райли.
Сестра!
Полегче, приятель.
Ирина сравнивает себя с мелком для рисования: даже если мелок сломался, им все равно можно раскрашивать.
Его убил Салли.
*Скажи, что тебе нужно сказать*
Все, что вам нужно: заниматься, заниматься, заниматься и сесть на строгую диету.
Мне надо идти.
- Я не знаю, что это такое.
мам, а ты сразу знала, что я буду вегетарианцем?
- Отпусти её.
Ты знаешь, немецкий философ Фридрих Ницше верил, что мораль — всего лишь домыслы, используемые стадом людей низшего порядка, чтобы придержать несколько человек высшего порядка.
И хотя нам не преодолеть всех трудностей, но обрести чувство удовлетворения мы сможем.
Не надо, Вы меня напугали!
У тебя кишка не тонка.
в) Что помогает нам продолжать свое служение?
- Волнуюсь. И волнуюсь, и боюсь одновременно.
Многие из них были новые,только что написанные Но одна запись была только что начата
Убери руки! С ума сошёл?
Я не поеду в машине с этими пистолетами!
Первая линия обороны
Подготовте свой вопрос. Я полюблю снова когда-то?
Минуту.
А может, нужно.
Ничего мне не нужно.
Будем готовить вместе.
Мы говорим о захоронении его останков.
Остальное - пустяки.
Я сделал митохондриальный анализ ДНК.
Я... убил...
Пойми, Чев. Ничего личного.
Я вам этого не прощу. Никогда, никогда, никогда!"""
1683,"Katso ulos, hän odottaa sinua.. ..näyttääkseen jotain, jonka näytti minulle""","Обещай, что не съешь её."
1684,Miten?,"Поэтому космический отдел представят стране как лучшие инженерные и научные умы,"
1685,"Tiedän, että mielestäsi hän on liian nuori...","Нет, но мне нужна твоя помощь."
1686,"Yritän vain ymmärtää, missä olen ja mitä minulle tapahtuu.",- Да.
1687,Äiti ja minä tarvitsemme sinua. Julia tarvitsee sinua.,Я бы сперва хотела почитать про безопасность этой модели.
1688,Tuhannet ihmiset tulevat sinne.,"Отправьте пару парней через дорогу, пусть разведают, что да как."
1689,Niin.,Спокойной ночи.
1690,Perjantai-iltana klubin jälkeen...,"КНКУ - КИТАЙСКОЕ НАЦИОНАЛЬНОЕ КОСМИЧЕСКОЕ УПРАВЛЕНИЕ, ПЕКИН"
1691,Miten se voi purkautua?,Он неплохой.
1692,Neitoa hädässä?,"Я понимаю, какая это ответственность."
1693,"Lääkäri sanovat, että on ihme, että olen elossa.",Я запыхалась.
1694,"Olen kumminkin iloinen siitä, että Detroit Lakesissa, missä me kaikki vuosia sitten aloitimme Jehovan todistajina, minulla on yli 90 kristityn veljen ja sisaren muodostama hengellinen perhe.",Как глупо.
1695,Alkuun,"Вы уже знакомы с Федеральной налоговой службой, Почтовой службой США, Федеральным Агенством по управлению в чрезвычайных ситуациях - что между ними общего?"
1696,Japanilainen äiti:,И ты знал это?
1697,"Poltitteko sitä kristallia, jota sait ystävältäsi Tucolta?","- Он мертв, а ты все еще борешься с ним!"
1698,En kestä olla yksin.,Приём. Hапряжение было слишком велико.
1699,- Tuosta hän saa syytteen.,"Надо же, взгляни на эти пальчики."
1700,Ei aavistustakaan.,"Но оттуда вышло достаточно крови, чтобы немного забилось в бороздки на запорных планках тех гильз, что вы положили в карман Сайласа."
1701,"Piileksiipä hän missä tahansa, hän ei taatusti ole tervetullut.",Просто сделай потише музыку.
1702,Nähdään huomenna.,Мистер Дэрден!
1703,- Se on ihan pikkujuttu.,Я вязала ему эти рукавицы.
1704,-Kumpikin teistä?,Хелен Криген.
1705,- Aivan.,- Вы же из 22го участка?
1706,Paremmat kehot.,-Синяя.
1707,Hallitsija pysäyttää sinut.,"Любящую мать, преданную жену которая жила полной жизнью вместе со своим любимым мужем Кристофером."
1708,Se oli oma ajatukseni.,- Слишком много таких случайностей. - Замолчи!
1709,"Määrät ovat itse asiassa niin suuria, - että voimme olettaa vampyyrin olevan vastuussa.","Итак, в квартире Арчи нашли книгу Ребекки по предмету Салли."
1710,Sitten kävelet lavalla ja naiset tekevät tarjouksia sinusta.,- Эозинофилии нет.
1711,- Oletko varma?,- Эти два и это.
1712,[ Kuvan lähdemerkintä s. 3],Вытаскивайте их! Живее!
1713,"Pete, ei!","Если репортеры спросят еще раз, отрицайте все. - Спасибо!"
1714,Mutta miksi?,А что же взамен?
1715,"Ranskan laivanomistajien keskuskomitean edustaja Edouard Berlhet sanoo, että ” vuonna 1998 tappiot nousivat 16 miljardiin dollariin.",Может быть.
1716,Se tehoaa pian.,Идет дозвон. Теперь ты.
1717,Ihailen vain.,"Да, хорошо."
1718,Vihainen.,"Стойте! Жди здесь, Томас."
1719,"Earl, Cookie, meillä on ongelma. Poliisi löysi Kylen auton hylättynä Bedfordista, Pennsylvaniasta. Se oli räjähtänyt.",Вы можете удивить.
1720,-Menen mieluummin kotiin.,Она ещё не прошла паспортный контроль.
1721,- Eikö hän tiedä?,"А когда поднимется на высоту, посмеивается коню и всаднику его."
1722,"Luulin, ettemme ole puheväleissä.",Не хочется это делать... - Мы засомневались.
1723,-Niin?,Хватит!
1724,-Onko suutelu rikos?,Все эти несчастные убитые девушки.
1725,Kuka siellä?,Я изменился?
1726,Löysin hänen vaimonsa ja huolehdin hänestä.,"[Вздыхае﻿  Я имею в виду, что именно мы делали там, Сэм?"
1727,Kuka on kiltti poika?,Круто!
1728,BYSANTTILAISET,"Будь со мной, когда боль заключает B решетку, свою забирая надежду,"
1729,Taisin ylireagoida. Tunnen sinut ja rakastan sinua.,"Она дома, болеет."
1730,-On hyvä naurattaa ihmisiä.,"Отпустите нас, идиотов, живыми!"
1731,"Ole varovainen, Fernando.","Пап как ты думаешь: Доминик считает, что я зажал оставшиеся 360 тысяч?"
1732,Tässä ovat faktanne.,"А тех 7 человек, которые погибли, уже не вернуть."
1733,Istuin tuolla ja katselin siitä Lännen tietä - ja muita länkkärisarjoja.,- Это снова твоя мама?
1734,- Kuka tuo oli?,Как и ты.
1735,Toin Henryn toimistollenne tunti sitten.,"Думаю, с вас на сегодня достаточно, сэр!"
1736,Ilkeitä huumesekoja.,- Да. От моей тачки.
1737,"Se on prepaid-liittymä, jonka Laura aktivoi 6 päivää sitten.",Вы слышали его?
1738,Mikä pöytä.,Она использовала шпильку. Клянусь!
1739,"Jos tuollaisia nunnia olisi, olisin ehkä läpäissyt kuudennen luokan.",Как мило.
1740,Tietenkin olit.,Майк.
1741,Kaipa siinä on järkeä.,"Сады де Лука, девятый ряд."
1742,Jonkun oli kuoltava.,Спасибо.
1743,Nouse ylös - tarvitset käsiäsi myöhemmin,"Другие овладевают знанием, другие коварством."
1744,- Ei se mitään.,- Я выбью из тебя всю дурь.
1745,En odottanut näkeväni sinua.,Хорошо. Я скоро буду дома.
1746,Tuo kuulostaa juonelta...,Рита?
1747,"Sinun kannattaa jatkaa matkaasi, poju.","Вы же понимаете, что Майя здесь на условиях предложения прокуратуры? Само собой, это взаимовыгодный приём, да."
1748,Menikö nyt sisu kaulaan?,Оставалось 2 часа. Когда было сделано фото?
1749,- Löysimme Aguilarin.,"Я имею ввиду, я открыт для предложений."
1750,Valmis lähtemään kotoa?,Захватите этих героев любой ценой.
1751,"Jakeessa 2 meille kerrotaan, että hänellä on ” Herran [” Jehovan ”, UM] Henki, viisauden ja ymmärryksen henki, neuvon ja voiman henki ”.",Что доказали бы мои отпечатки пальцев?
1752,- Apua!,Твоя мать подписала приказ на смерть целой расе
1753,"Selvä, sinun autosi.","Позвольте вашу машину, сэр?"
1754,Muutama Rileyn kaveri.,Вот ведь сволочи!
1755,- Hoitaja!,"Хорошо. Как сделать, чтобы он остался один?"
1756,Rauhallisesti.,(делегировано% 1)
1757,"Delphine uppoutui tärkeään vapaaehtoistyöhön. Ajan myötä hän alkoi nähdä tilanteensa uudessa valossa; hän vertasi itseään lasten väriliituun, jolla voi värittää, vaikka se olisi katkennut.",Примерьте.
1758,Se oli Sully.,У. Для меня тоже?
1759,Sano mitä sinun pitää sanoa,Ховард? Элисон на линии 3.
1760,"Nyt vaan treeniä, treeniä ja tiukka ruokavalio.","Слушай, знаешь что?"
1761,Minun pitää mennä.,- Хочешь перекусить?
1762,"- En tiedä, mikä se on.",Скотт Уинтерс.
1763,"Äiti, tiesitkö aina että minusta tulisi vegetaristi?",- Вы курите травку?
1764,-Päästä hänet!,Цель вашего расследования - Цезарь Калдерон?
1765,"Saksalainen filosofi Friedrich Nietzsche uskoi moraalin - olevan väline, jolla alempiarvoiset ihmiset - pitävät ylivertaisia kurissa.",То я бы выступал с речью.
1766,"Kaikki ongelmamme eivät ehkä ratkea, mutta voimme tuntea jossain määrin tyytyväisyyttä.",Вы собираетесь смотреть фильм?
1767,"Älkää tehkö noin, säikäytitte minut.","Закончили. Позвоню, когда сделаю дело."
1768,Olet sisukas.,"- Вчера, когда она шла с работы."
1769,c) Mitkä lahjat antavat voimaa meille?,Что за х*рня с вами! Я ничего не сделал!
1770,Jännittävältä hyvällä tavalla.,"Вот, все готово."
1771,"Useimmat jo julkaistuista jutuista, mutta yhtä hän oli vasta aloittamassa.",Вернуть всех нас домой.
1772,Oletko seonnut?,Почему Иисус Навин и Халев были так уверены в победе?
1773,Minä en istu autoon kaikkien pyssyjen kanssa!,"О, Боже."
1774,Ensimmäinen puolustuslinja,Ты ничего не значишь.
1775,Löydänkö vielä rakkauden?,- А если бы я не затормозил?
1776,Odota. Siinä on taskulamppu.,"Боже, кожаные изделия, да... кисточки из кожи украшения из кожи."
1777,Ehkä se on.,Это свыше моих сил.
1778,En tarvitse mitään. - Vähän vain.,Он не капитан. Мы равноправные партнёры.
1779,Kokataan molemmat. Yhdessä.,"- Магда, погоди..."
1780,Puhut hänen hautaamisestaan.,Вы предлагаете бойкотировать величайшее спортивное событие в мире на основании каких-то слухов.
1781,Tämä kestää.,"Постойте, постойте."
1782,Tein mitokondriaalisen DNA-testin.,"Значит, эта проблема затрагивает каждого восьмого человека на земле."
1783,Minä tapoin.,И она была очень преданной.
1784,"Chev, toivottavasti tajuat, ettei tämä ole henkilökohtaista.",Или... мы можем всё ускорить.
