,english,finnish
1231,I live in Honolulu.,Asun Honolulussa.
1232,A sane mind is in a sound body.,Terve mieli terveessä ruumiissa.
1233,Take medicine.,Ota lääkettä.
1234,I have a small fever.,Minulla on lämpö koholla.
1235,I didn't ruin my clothing.,En pilannut vaatetustani.
1236,Muiriel is 20 now.,Ny Muiriel on kakskytvuotias.
1237,I like boys like that.,Pidän tuollaisista pojista.
1238,I'm often mistaken for my brother.,Minut sekoitetaan usein veljeeni.
1239,It's perfectly harmless.,Se on täysin vaaraton.
1240,Revenge is sweet.,Kosto on suloinen.
1241,Tom thinks your ideas are stupid.,Tomin mielestä ideasi ovat tyhmiä.
1242,Whose guitar is this?,Kenen tämä kitara on?
1243,I think this is a very good plan.,Minusta se on todella hyvä suunnitelma.
1244,Tom didn't feel like waiting.,Tomia ei haluttanut odottaa.
1245,Achille was born in Paris in 1908.,Achille syntyi Pariisissa vuonna 1908.
1246,What the fuck is your problem?,Mikä vittu sussa on oikeen vialla?
1247,She speaks both English and French.,Hän puhuu sekä englantia että ranskaa.
1248,He speaks English.,Hän osaa englantia.
1249,The hunters got up before dawn.,Metsästäjät heräsivät ennen aamunkoittoa.
1250,Life without love is just totally pointless.,Elämä ilman rakkautta on vain täysin merkityksetöntä.
1251,I don't have any other hobbies besides football.,Minulle ei ole muita harrastuksia jalkapallon lisäksi.
1252,She gives us clothes.,Hän antaa meille vaatteet.
1253,"Having a slight fever, I stayed in bed.",Koska oli pientä kuumetta jäin vuoteeseen.
1254,Do you know his name?,Tiedätkö hänen nimensä?
1255,I just couldn't say no to Tom.,En vain voinut sanoa ei Tomille.
1256,Today I got up early.,Tänään nousin aikaisin.
1257,Earth is our oasis in space.,Maa on keitaamme avaruudessa.
1258,I love reading books.,Minä rakastan lukea kirjoja.
1259,My name is Sally.,Minun nimeni on Sally.
1260,How is the family?,Miten perheesi voi?
1261,You're gullible.,Te olette hyväuskoisia.
1262,"If native speakers of Turkish contribute new, natural-sounding sentences in their own language or translate into Turkish the non-Turkish sentences which they can fully understand, then Tatoeba will become an even better resource for everyone, for example, who is learning English via Turkish or learning Turkish via English.","Mikäli äidinkieliset turkin puhujat tekevät uusia, luonnollisen kuuloisia lauseita kielellään tai kääntävät turkiksi lauseita, jotka he ymmärtävät täysin, tulee Tatoebasta alati parempi apuväline kaikille, esimerkiksi englantia opetteleville turkinkielisille tai toisinpäin."
1263,She's a violinist of some renown.,Hän on jokseenkin maineikas viulisti.
1264,"May I have your email, please?",Voisinko saada sähköpostiosoitteesi?
1265,Everyone is waiting on you.,Kaikki odottavat teitä.
1266,I could hardly keep from laughing.,Vaivoin pystyin pidätellä nauruani.
1267,Tatoeba: We've got sentences older than you.,"Tatoeba: Meillä on lauseita, jotka ovat sinua vanhempia."
1268,We'll contact you.,Me otamme teihin yhteyttä.
1269,You need me here.,Tarvitset minua täällä.
1270,Follow my lead!,Seuraa minua!
1271,I'll get him to listen.,Saan hänet kuuntelemaan.
1272,Are you sure you've never met him?,"Oletko varma, ettet ole koskaan tavannut häntä?"
1273,Don't cheat.,Älkää petkuttako.
1274,I have no idea how it works.,"Minulla ei ole mitään hajua, miten se toimii."
1275,I am on medication.,Minulla on säännöllinen lääkitys.
1276,Thanks for pointing this out.,Kiitos kun kerroit.
1277,Anyone who comes can be admitted.,Kuka tahansa tulee voidaan päästää sisään.
1278,Say no to drugs.,Sano ei huumeille.
1279,Tom can't catch a break.,Tomilla ei ole helppoa.
1280,I have no idea.,Ei hajuakaan.
1281,I hate that sound.,Vihaan sitä ääntä.
1282,You arrived at the moment I left.,Saavuitte juuri sillä hetkellä kuin minä lähdin.
1283,I didn't understand the question.,Minä en ymmärtänyt sitä kysymystä.
1284,I think Tom can help us.,"Luulen, että Tom voi auttaa meitä."
1285,Good night.,Hyvää yötä.
1286,Birds have wings.,Linnuilla on siivet.
1287,No one will obey you.,Kukaan ei tottele sinua.
1288,Tom has a cousin named Mary.,Tomilla on serkku nimeltään Mary.
1289,You need to shave.,Sinun täytyy ajaa partasi.
1290,I have a high opinion of the film director.,Arvostan elokuvan ohjaajaa.
1291,We'll be on our way.,Olemme matkalla.
1292,Let's play by ourselves.,Leikitään keskenämme.
1293,You are eating a muffin for breakfast.,Syöt muffinssia aamiaiseksi.
1294,"Tom had no idea, as he set off for the party, that he was going to meet the love of his life that night.","Tom ei osannut aavistaakkaan juhliin lähtiessään, että hän tapaisi tuona yönä elämänsä rakkauden."
1295,He has a huge cock.,Hänellä on mahtavankokoinen kulli.
1296,What does she want in return?,Mitä hän haluaa vaihdossa?
1297,How long has Tom been studying French?,Miten kauan Tom on opiskellut ranskaa?
1298,Tom visited Mary in Boston.,Tom kävi Maryn luona Bostonissa.
1299,Tom broke the window.,Tom rikkoi ikkunan.
1300,"Please take the bread with the tongs, thank you.","Käytäthän ottimia, kun otat leipää. Kiitos!"
1301,No one has heard Tom say Mary's name.,Kukaan ei kuullut Tomin sanovan Mary´n nimeä.
1302,Tom told himself that he had made the right decision.,"Tom sanoi itselleen, että hän oli tehnyt oikean päätöksen."
1303,I wouldn't be surprised.,En olisi lainkaan yllättynyt.
1304,What would German be without commas?,Mitä saksan kieli olisikaan ilman pikkuja?
1305,Thanks for your explanation.,Kiitos selityksestäsi.
1306,What time did you go to sleep yesterday?,Mihin aikaan menit eilen nukkumaan?
1307,Why was I not aware of this?,Miksi minä en ollut tietoinen tästä?
1308,I've always liked that name.,Olen aina pitänyt siitä nimestä.
1309,Tom fell into the mud.,Tom putosi mutaan.
1310,Can you afford them?,Onko sinulla varaa niihin?
1311,How much does a beer cost?,Paljonko maksaa olut?
1312,This box won't fit in my suitcase.,Tämä laatikko ei mahdu matkalaukkuuni.
1313,Making use of fire may be regarded as man's greatest invention.,Tulen hyödyntäminen voidaan nähdä ihmisen huomattavimpana keksintönä.
1314,You used to climb our oak tree when you were a kid.,"Sinulla oli tapana kiivetä tammipuuhumme, kun olit lapsi."
1315,I don't see how that can be true.,En ymmärrä miten se voi olla totta.
1316,Not everyone is honest.,Jokainen ei ole rehellinen.
1317,The audience went wild.,Yleisö villiintyi.
1318,I didn't eat it.,En syönyt sitä.
1319,Isn't that annoying?,Eikö se ärsytä sinua?
1320,"A bilingual person can change from one language to another in the middle of a sentence, and this code-switching is a topic of study for linguists.",Kaksikielinen henkilö saattaa vaihtaa kielestä toiseen kesken lauseen ja tämä koodinvaihto on kielitieteilijöiden tutkimusaihe.
1321,Tom seems very friendly.,Tom vaikuttaa hyvin ystävälliseltä.
1322,Do you have any idea what my life is like?,"Onko teillä aavistustakaan siitä, millaista minun elämäni on?"
1323,Tom got his first job when he was thirteen.,Tom sai ensimmäisen työpaikkansa kun hän oli kolmetoista.
1324,Really? It took me an hour by train.,Todellako? Minulta se kesti tunnin junalla.
1325,Tatoeba: Sentence fragments keep out!,Tatoeba: Sirpaleiset lauseet pysykää poissa!
1326,You should help your father.,Omaa isää tulisi auttaa.
1327,Don't be rude.,Älä ole epäkohtelias!
1328,Checkmate.,Matti.
1329,She wept bitterly.,Hän itki katkerasti.
1330,"It's a shame to not be able to get nearer to observe those peacocks, but walking on the flowerbeds in this garden is prohibited.","On sääli ettei saa katsoa lähempää noita riikinkukkoja, mutta tässä puutarhassa nurmikolla käveleminen ei ole sallittua."
1331,You are not my brother.,Et ole minun veljeni.
1332,An hour has sixty minutes.,Tunnissa on kuusikymmentä minuuttia.
1333,"No, thank you.",Ei kiitos.
1334,May I hang up your coat?,Voinko ripustaa takkisi?
1335,The firefighters could not put out the fire at the industrial plant.,Palomiehet eivät saaneet sammutettua tehdaslaitoksen paloa.
1336,We are sold out of jeans.,Farkut on loppuunmyyty.
1337,Cutting a cake into equal pieces is rather difficult.,Kakun leikkaaminen yhtä suuriin paloihin on aika hankalaa.
1338,I think I might be out of a job.,Luulenpa että menetin työpaikkani.
1339,Delicious.,Herkullista.
1340,You look happier than usual.,Näytät iloisemmalta kuin tavallisesti.
1341,Do you have pencils?,Onko sinulla lyijykyniä.
1342,Change is what we need.,"Muutos on se, mitä me tarvitsemme."
1343,Paper production increases annually.,Paperin tuotanto lisääntyy vuosittain.
1344,I like Tom's attitude.,Pidän Tomin asenteesta.
1345,How do you like Kyoto?,Mitä tykkäätte Kiotosta?
1346,You should concentrate on the road when you're driving.,Teidän pitää keskittyä tiehen kun olette ajamassa.
1347,I'm not blaming Tom.,En syytä Tomia.
1348,You need to come quickly.,Teidän tulee tulla nopeasti.
1349,Soon you will reap the fruits of your efforts.,Pian korjaat vaivannäkösi satoa.
1350,Do your homework at once.,Tee läksysi heti.
1351,Do you want to discuss it?,Haluatko puhua siitä?
1352,I remember you often went to Betty's house to tea when you were a little girl.,"Minä muistan, että kävit usein Eliisalla teellä, kun olit pieni tyttö."
1353,Tom is the kind of man I like.,"Tom on sellainen ihminen, josta tykkään."
1354,I know you're quite busy.,"Tiedän, että sinulla on aika kiire."
1355,Tom is an ex-con.,Tom on entinen vanki.
1356,Don't let this information leak out.,Älkää päästäkö tätä tietoa vuotamaan.
1357,Thou speakest.,Puhut.
1358,Get out of my seat.,Pois minun paikaltani.
1359,That sounds stupid.,Tuo kuulostaa tyhmältä.
1360,This is my daughter.,Tämä on tyttäreni.
1361,You must teach me how to do that.,"Sinun pitää opettaa minulle, miten tuo tehdään."
1362,We have a couple of classes together.,Meillä on muutamia yhteisiä kursseja.
1363,This virus is spreading rapidly among humans.,Tämä virus leviää nopeasti ihmisten keskuudessa.
1364,Tom felt happy.,Tom tunsi itsensä iloiseksi.
1365,I am studying Korean.,Opiskelen koreaa.
1366,Tom likes you more than anybody else.,Tom pitää sinusta enemmän kuin kukaan muu.
1367,I can't put up with his arrogance.,En voi sietää hänen röyhkeyttään.
1368,Here you are.,Olkaa hyvät.
1369,I loved you.,Rakastin sinua.
1370,My name's Tom.,Minä olen Tom.
1371,He had few teeth.,Hänellä oli vähän hampaita.
1372,He was killed in the riot.,Hänet tapettiin mellakassa.
1373,You have every right to do that.,Sinulla on täysi oikeus tehdä tuo.
1374,I've got to be careful.,Minun on oltava varovainen.
1375,Just because he likes painting doesn't mean he's good at painting.,"Vain koska hän pitää maalaamisesta, niin se ei tarkoita, että hän olisi hyvä siinä."
1376,I was much impressed by his speech.,Hänen puheensa teki minuun suuren vaikutuksen.
1377,Please wake me up at 6 tomorrow morning.,Herätä minut huomenna kuudelta aamulla.
1378,Tom promised me he'd be here by 2:30.,"Tom lupasi minulle, että hän olisi täällä puoli kolmeen mennessä."
1379,You speak French very well.,Puhut ranskaa erittäin hyvin.
1380,This is the place where the battle took place.,Tässä paikassa käytiin kyseinen taistelu.
1381,Tom had no options left.,Tomilla ei ollut vaihtoehtoja jäljellä.
1382,Tom likes to watch movies.,Tomi tykkää katsoa leffoja.
1383,Tom has a good voice.,Tomilla on hyvä ääni.
1384,My house is on a hill.,Taloni on kukkulan päällä.
1385,Sodium is one of the most abundant elements in the Earth's crust.,Natriumia esiintyy mitä runsainten Maan kuoressa.
1386,"I love you, too, answered the Fairy, ""and if you wish to stay with me, you may be my little brother and I'll be your good little sister.""","”Niin minäkin sinua”, vastasi Keiju, ”ja jos haluat jäädä luokseni, voit olla pikkuveljeni ja minä olen sinun hyvä pikkusiskosi”."
1387,What's that in your hand?,Mitä sulla on kädessä?
1388,Is this sentence correct?,Onko tämä lause oikein?
1389,Ugliness has one advantage over beauty: it lasts.,Rumuudella on yksi etu kauneuteen nähden: se pysyy.
1390,What would you like to do?,Mitä haluaisit tehdä?
1391,"Tom always wanted to be a doctor, but his grades at school weren't quite good enough to get him into medical school.","Tom halusi aina tulla lääkäriksi, mutta hänen kouluarvosanansa eivät olleet tarpeeksi hyviä, että hän olisi päässyt lääketieteelliseen kouluun."
1392,How will you stop him?,Miten haluat pysäyttää hänet?
1393,Many astronomers assume that the universe expands infinitely.,Monet astronomit olettavat avaruuden laajenevan rajattomasti.
1394,But your function isn't Lipschitz continuous!,Mutta teidän funktionne ei ole Lipschitz-jatkuva!
1395,Of course.,Totta kai.
1396,What happened to Tom could happen to you.,"Se mitä tapahtui Tomille, voisi tapahtua sinulle."
1397,Blarney!,Hölynpölyä!
1398,I know where you're going.,"Minä tiedän, minne sinä olet matkalla."
1399,Are you novices?,Oletteko aloittelijoita?
1400,It's now or never.,Nyt tai ei koskaan.
1401,Sauna is one of the few widely used words that have been borrowed from Finnish.,Sauna on harvoja laajalti käytettyjä suomen kielestä lainattuja sanoja.
1402,Tom was happy to be home after being away for so long.,Tom oli onnellinen päästyään kotiin oltuaan niin kauan poissa.
1403,Do you think I still love Tom?,"Luuletko, että rakastan Tomia vieläkin?"
1404,I'm pretty sure Tom's Canadian.,"Olen melko varma, että Tom on kanadalainen."
1405,Where are the three nude statues in the exhibition?,Missä ovat näyttelyn kolme alastonpatsasta?
1406,Sorry.,Anteeksi.
1407,Tom is crazy about Mary.,Tomi on hulluna Mariin.
1408,I believe this is mine.,Uskoakseni tämä on minun.
1409,You shouldn't eat here.,Sinun ei pitäisi syödä tässä.
1410,The two men sitting on the bench were Americans.,Penkillä istuvat kaksi miestä olivat amerikkalaisia.
1411,"Wait here a second, OK?","Odota tässä pieni hetki, jooko?"
1412,We have common interests.,Meillä on yhteiset intressit.
1413,My name's Jack.,Minun nimeni on Jaakko.
1414,Tom owns his own company.,Tom omistaa oman yrityksensä.
1415,Is that why you called?,Senkö takia sinä soitit?
1416,Tom lied to me.,Tom valehteli minulle.
1417,I moved to Boston last spring.,Muutin Bostoniin viime keväänä.
1418,In what continent is the Nile River?,Millä mantereella on Niili-joki?
1419,"Come on, let's go.","Älä viitsi, mennään."
1420,Keep out of this.,Pysy poissa tästä.
1421,How can you eat so much?,Miten sinä pystyt syödä noin paljon?
1422,Tom did everything he could.,Tom teki kaiken minkä pystyi.
1423,I need to rest now.,Minun pitää levätä nyt.
1424,I haven't met with Tom recently.,En ole tavannut Tomia viime aikoina.
1425,Are you proud of your father?,Oletko ylpeä isästäsi?
1426,Whatever.,Ihan sama.
1427,Yes!,Kyllä!
1428,I ate the whole apple.,Minä söin koko omenan.
1429,I can speak a little French.,Osaan puhua ranskaa vähän.
1430,Tom wrote me about that.,Tomi kirjoitti minulle siitä.
1431,The gentleman is a very famous pianist.,Tuo herrasmies on erittäin kuuluisa pianisti.
1432,We must study harder.,Meidän pitää opiskella ahkerammin.
1433,Honesty isn't always the best policy.,Rehellisyys ei ole aina paras toimintatapa.
1434,He lives six houses beyond my house.,Hän asuu vain kuuden talon päässä talostani.
1435,Father is in the habit of reading the paper before breakfast.,Isällä on tapana lukea sanomalehteä ennen aamupalaa.
1436,The line's been busy all day.,Linja on ollut käytössä koko päivän.
1437,What were you two up to?,Mitä te kaksi oikein aioitte?
1438,It makes no difference to me.,Sillä ei ole minulle väliä.
1439,"Mary's unnerving to be around, because she's so finicky about everything.","Marin lähettyvillä on hermostuttavaa olla, koska hän on niin pikkutarkka kaikesta."
1440,I'm glad it wasn't me.,Olen iloinen ettei se ollut minä.
1441,He was killed by a land mine.,Hänet tappoi maamiina.
1442,I'll be home alone all night.,Tulen olemaan yksin kotona koko yön.
1443,Tom told Mary that he grew up in a poor neighborhood in Boston.,"Tomi kertoi Marille, että hän asui köyhässä kaupunginosassa Bostonissa."
1444,Tom was in high school then.,Tomi oli silloin lukiossa.
1445,It's so stupid.,Se on niin tyhmää.
1446,I don't love Tom anymore.,En rakasta Tomia enää.
1447,I have been obsessed with French recently.,Ranskan kieli on ollut minulle pakkomielle viime aikoina.
1448,Forget it!,Älä viitsi!
1449,I feel like another beer.,Minulle maistuisi vielä yksi olut.
1450,I don't have time for that.,Minulla ei ole aikaa siihen.
1451,Escape!,Pakene!
1452,Tatoeba was closed for Christmas.,Tatoeba oli suljettuna joulun.
1453,"Can I use my laptop in the bath? ""No, you can't.""",”Voinko käyttää läppäriäni kylvyssä?” ”Et voi.”
1454,I was very much annoyed with him.,Hän ärsytti minua.
1455,Romulus was the grandson of Numitor.,Romulus oli Numitorin lapsenlapsi.
1456,Where is the bus?,Missä bussi on?
1457,I'm only doing this for your own good.,Teen tämän vain sinun omaksi parhaaksesi.
1458,I feel hungry.,Minä olen nälkäinen.
1459,We'll be needing your help.,Me tarvitsemme apuasi.
1460,I bought that off eBay.,Ostin sen eBaystä.
1461,I think it's time for me to leave.,Luulen että minun on aika lähteä.
1462,Nobody called Tom.,Kukaan ei soittanut Tomille.
1463,You'll never know unless you try.,"Sinä et saa ikinä tietää, ellet yritä."
1464,Tom quickly climbed up the tree.,Tom kiipesi nopeasti ylös puuhun.
1465,This cat is Tom's.,Tämä kissa on Tomin.
1466,I cannot bite. I have no teeth.,En pysty puremaan. Ei minulla ole hampaita.
1467,That's a lovely idea.,Onpa mahtava ajatus!
1468,Halt!,Pysähdy!
1469,That camera over there is mine.,Tuo kamera tuolla on minun.
1470,Tom never agrees with Mary.,Tom ei koskaan ole yhtä mieltä Maryn kanssa.
1471,It's a must-see.,Se on must-juttu.
1472,Tom's partner thought that they should also sell gourmet popcorn seasonings.,"Tomin yhtiökumppani oli sitä mieltä, että heidän pitäisi myydä myös gourmetpopcorn-mausteita."
1473,"Tom wanted to ask questions, but he didn't.","Tom halusi esittää kysymyksiä, mutta hän ei tehnyt sitä."
1474,Tom is usually at home on Sunday evenings.,Tomi on yleensä kotona sunnuntai-iltaisin.
1475,That was a slight miscalculation.,Se oli pieni laskuvirhe.
1476,"Although she grew up in Japan, she still speaks fluent English.","Vaikka hän kasvoi Japanissa, hän yhä puhuu sujuvaa englantia."
1477,"By the way, how old are you?",Miten vanha muuten olet?
1478,You're not doing so well.,Sinulla ei mene kovin hyvin.
1479,I'm going.,Olen menossa.
1480,I'm drinking coffee.,Juon kahvia.
1481,"Give me the salt, please.",Ojentaisitko suolaa.
1482,You are old enough to know better. Behave yourself.,Olet tarpeeksi vanha tietämään paremmin. Käyttäydy kunnolla.
1483,How do you like my new suit?,Mitä mieltä olet uudesta puvustani?
1484,I'll give you a prescription.,Määrään sinulle lääkettä.
1485,Tom hasn't said a word all evening.,Tom ei ole sanonut sanaakaan koko iltana.
1486,"Tom and Mary enlisted the services of a professional declutterer, because they could no longer cope with their messy house.","Tom ja Mari ottivat käyttöönsä ammattilaisraivaajan palvelut, koska he eivät enää pärjänneet sotkuisen talonsa kanssa."
1487,Tom might go to Boston to look for a job.,Tom saattaa mennä Bostoniin työnhakuun.
1488,Tom didn't have to go to work today.,Tomin ei täytynyt mennä töihin tänään.
1489,I'm not in a mood to go out.,Minua ei huvita lähteä ulos.
1490,He passed away yesterday.,Hän siirtyi eilen ajasta ikuisuuteen.
1491,Each person has his own way of doing things.,Jokaisella henkilöllä on oma tapansa tehdä asioita.
1492,Do you understand what I am saying?,"Ymmärrättekö, mitä sanon?"
1493,I just heard an interesting story about Tom.,Kuulin juuri mielenkiintoisen jutun Tomista.
1494,Call the doctor!,Soittakaa lääkäriin!
1495,What season do you like the best?,Mistä vuodenajasta pidät eniten?
1496,Was there anybody else in the room?,Oliko siellä tilassa ketään muuta?
1497,Are you in a hurry?,Onko sinulla kiire?
1498,Why did you keep her picture?,Miksi pidit hänen kuvansa?
1499,Let's wait here until he turns up.,Odotetaan täällä kunnes hän ilmestyy paikalle.
1500,Do you see yonder cloud that’s almost in shape of a camel?,"Näetkö kaukaisen pilven, joka näyttää melkeinpä kamelilta?"
1501,Muiriel is 20 now.,Nyt Muiriel on kakskyt.
1502,Tom didn't blame me.,Tomi ei syyttänyt minua.
1503,Speak a little louder.,Puhukaa vähän kovemmalla äänellä.
1504,They've all gone crazy.,He ovat kaikki seonneet.
1505,The world is cruel.,Maailma on julma.
1506,Who believes in God?,Kuka uskoo Jumalaan?
1507,I'm not a spy.,Mä en oo vakooja.
1508,Tom had nothing to do with getting Mary fired.,Tomilla ei ollut mitään tekemistä Maryn potkujen kanssa.
1509,"The longer I listen to her, the less I like her.",Mitä pidempään kuuntelen häntä sitä vähemmän pidän hänestä.
1510,We're from the same neighborhood.,Olemme kotoisin samoilta kulmakunnilta.
1511,I'm only trying to help you help yourself.,Yritän vain auttaa sinua auttamaan itseäsi.
1512,My book is here.,Minun kirjani on tässä.
1513,Drink some water.,Juo vähän vettä.
1514,I can almost guarantee that Tom won't get here on time.,"Voin melkein taata, että Tomi myöhästyy."
1515,Please turn on the light.,Voisitko sytyttää valot?
1516,"To err is human, to forgive divine.","Erehtyminen on inhimillistä, anteeksi antaminen jumalallista."
1517,"A reconnaissance satellite is a military satellite capable of monitoring many activities on earth, eavesdropping on lines, registering the operating frequency of the radar systems...","Tiedustelusatelliitti on armeijatason satelliitti, jolla voidaan seurata Maan tapahtumia salakuuntelemalla linjoja, tutkajärjestelmien käyttötaajuuksia rekisteröimällä..."
1518,I'm on my way to Tom's place.,Olen menossa Tomille.
1519,I don't know how to sew or embroider.,En tiedä miten ommella tai kirjailla.
1520,I persuaded him to be examined by the doctor.,Taivuttelin hänet tohtorin tutkittavaksi.
1521,Please call me a doctor.,Kutsukaa lääkäri.
1522,I know the president of that company by name.,Tunnen tuon yhtiön pääjohtajan nimeltä.
1523,"Being an orphan, my father had to start earning money at ten.","Koska oli orpo, isäni täytyi aloittaa rahan ansaitseminen kymmenvuotiaana."
1524,How strange life is!,Miten kummallista elämä onkaan!
1525,They are teachers.,He ovat opettajia.
1526,You've got a great sense of humor.,Sinulla on mahtava huumorintaju.
1527,You'll never know unless you try.,"Et saa koskaan tietää, jollet koeta."
1528,Capisce?,Ymmärrätkö?
1529,How many names were on the list?,Montako nimeä oli listalla?
1530,Tom is interested in French literature.,Tom on kiinnostunut ranskalaisesta kirjallisuudesta.
1531,Yamamoto is one of my friends.,Yamamoto on eräs ystävistäni.
1532,You'll never know unless you try.,"Ette saa ikinä tietää, jos te ette koeta."
1533,"Did she like the film? - ""Yes, she did.""","Pitikö hän elokuvasta? - ""Kyllä hän piti."""
1534,"French is pretty hard, isn't it?","Ranska on aika vaikeaa, eikö olekin?"
1535,It's been over a week since I last saw Tom.,Siitä on yli viikko kun viimeksi näin Tomin.
1536,I watch a lot of movies.,Katson paljon elokuvia.
1537,Is anybody awake?,Onks ketää hereillä?
1538,Chill.,Ota iisisti.
1539,"He drives a car, doesn't he?","Kyllä hän ajaa autoa, vai miten on?"
1540,How old do you think Tom is?,Kuinka vanhan luulet Tomin olevan?
1541,That's insulting.,Tuo on loukkavaa.
1542,I'm too busy to go.,"Olen liian kiireinen, joten en pääse sinne."
1543,Tom didn't deny it.,Tomi ei kieltänyt sitä.
1544,"At first, I was only looking at the French sentences, but before I knew it, I was hooked into translating them.","Aluksi minä vain katselin ranskankielisiä lauseita, mutta ennen kuin tiesinkään, olin koukussa niiden kääntämiseen."
1545,How can I turn down the air conditioner?,Miten saan ilmastointia pienemmälle?
1546,Tom has developed a new system for learning English.,Tom on kehittänyt uuden järjestelmän oppia englantia.
1547,He arrived at the station at five.,Hän saapui asemalle viideltä.
1548,I'm not as sure as you seem to be.,Te vaikutatte paljon minua varmemmilta.
1549,"Those letters are all the wrong way around! ""No, it's supposed to be like that, it's Russian.""","Nuo kirjaimet ovat aivan väärin päin! ""Eivät ole, niiden pitää olla noin, se on venäjää."""
1550,I vowed that I would never speak to her again.,"Vannoin, että en puhuisi hänelle enää koskaan."
1551,Was that my phone ringing?,Soiko minun puhelimeni?
1552,Can I eat in my room?,Voinko syödä huoneessani?
1553,A full moon can be seen tonight.,Täysikuu voidaan nähdä tänä iltana.
1554,For how long are you in Shanghai?,Kuinka pitkään olette Shangaissa?
1555,No sooner had she gone there than she was taken ill.,"Heti kun hän oli mennyt sinne, hän sairastui."
1556,Tom no longer loves Mary.,Tom ei enää rakasta Marya.
1557,What will happen to her if her father is taken away?,"Mitä hänelle tapahtuu, jos hänen isänsä viedään pois?"
1558,I think I'm not assertive enough.,"Luulen, että en ole tarpeeksi vakuuttava."
1559,"As I have mentioned somewhere in these incoherent memoirs, the outbursts of passionate energy when he performed the remarkable feats with which his name is associated were followed by reactions of lethargy during which he would lie about with his violin and his books, hardly moving save from the sofa to the table.","Kuten olen jo maininnut jossain päin näitä hajanaisia muistelmia, merkittävien urotöiden, joihin hänen nimensä liitetään, aikaisia intohimoisia energianpurskahduksia seurasivat uupumusreaktiot, joiden aikana hän loikoili viuluinensa ja kirjoinensa tuskin liikkuen muutoin kuin sohvalta pöydän ääreen."
1560,I'm not the same man I used to be.,En ole sama mies kuin ennen.
1561,Will I get well soon?,Paranenko minä pian?
1562,Where is the hotel?,Missä on hotelli?
1563,You should have done it with us.,Sinun olisi pitänyt tehdä se kanssamme.
1564,Next year will be worse.,Ensi vuosi on huonompi.
1565,Birds sing.,Linnut laulavat.
1566,Why were you laughing?,Miksi sinä nauroit?
1567,Jason has brown eyes.,Jasonilla on ruskeat silmät.
1568,Tom acts like he doesn't want to be seen with us.,"Tom käyttäytyy niin kuin hän ei haluaisi, että hänet nähdään kanssamme."
1569,Were you the one who helped Tom?,"Olitko sinä se, joka auttoi Tomia?"
1570,Say which you would like.,"Sano, minkä haluaisit."
1571,Tom noticed a change in Mary.,Tom huomasi muutoksen Maryssa.
1572,My music teacher was surprised to know I know how to cook.,"Musiikinopettajani yllättyi saadessaan tietää, että osaan laittaa ruokaa."
1573,Could you take a picture of me?,Voisitko ottaa kuvan minusta?
1574,I speak French with Tom and Mary.,Minä puhun ranskaa Tomin ja Marin kanssa.
1575,I don't blame her for this.,En syytä häntä tästä.
1576,Tom also speaks a little French.,Tom puhuu myös vähän ranskaa.
1577,Mary wants the nice picture of a penguin from Tom's profile.,Mari haluaa kivan pingviinin kuvan Tomin profiilista.
1578,I want to make a private visit.,Minä haluan yksityisvierailun.
1579,You have very sexy legs.,Sinulla on tosi seksikkäät sääret.
1580,Where is the most beautiful place in the world?,Missä on maailman kaunein paikka?
1581,Tom is all right.,Tomille kuuluu ihan hyvää.
1582,Stop picking on Tom.,Lopeta Tomin kiusaaminen.
1583,She couldn't stop the tears.,Hän ei voinut muuta kuin itkeä.
1584,Replace it.,Korvaa se.
1585,Mary said she would bring a potato bake and some wine to the dinner.,"Mari sanoi, että hän toisi perunavuokaa ja viiniä illalliselle."
1586,Drive safely.,Ole kiltti ja aja varovasti.
1587,What's the meaning of life?,Mikä elämän tarkoitus on?
1588,"Let the English and the French take all the land they want, said the Indian chief. ""But they want to take all the land between the Atlantic Ocean to the Pacific Ocean, is it OK?"" said Tom.","”Anna englantilaisten ja ranskalaisten ottaa kaiken maan, jonka he haluavat”, sanoi intiaanipäällikkö. ”Mutta he haluavat ottaa kaiken maan Atlanttin ja Tyynen valtameren väliltä. Sopiiko se?” sanoi Tom."
1589,This sentence is false.,Tämä lause ei pidä paikkaansa.
1590,The meat is tough.,Liha on sitkeää.
1591,"When we started out, we only had six employees.",Aloittaessamme meillä oli vain kuusi työntekijää.
1592,"Tom visited Mary, who was in the hospital with a broken bone.","Tom kävi katsomassa Maria, joka oli sairaalassa murtuneen luun takia."
1593,I don't know how else to put it.,"En tiedä, miten muuten ilmaista sitä."
1594,Is sugar a poison?,Onko sokeri myrkkyä?
1595,"Been there, done that.",Ei mitään uutta minulle.
1596,Experts say the pandemic is going to get worse before it gets better.,"Asiantuntijat sanovat, että pandemia käy pahemmaksi ennen kuin se käy paremmaksi."
1597,I asked Tom where he had been.,Kysyin Tomilta missä hän oli ollut.
1598,When does he get back from his trip?,Milloin hän tulee takaisin matkaltaan?
1599,Did you hear that sound?,Kuulitko sinä tuon äänen?
1600,Incredible!,Uskomatonta!
1601,The bridge will take months longer to build and cost millions of dollars more than first estimated.,Sillan rakentaminen kestää kuukausia pidempään ja se maksaa miljoonia dollareita enemmän kuin aluksi arvioitiin.
1602,Tom got rich quickly.,Tomi rikastui nopeasti.
1603,His son trembled with fear.,Hänen poikansa tärisi pelosta.
