,english,russian
1200,Tom said that he was colorblind.,"Том сказал, что он дальтоник."
1201,How's your father?,Как твой отец?
1202,Did they say when?,Они сказали когда?
1203,This car looks angry.,Эта машина выглядит сердитой.
1204,Do you study English?,Вы изучаете английский язык?
1205,Are you my enemy?,Вы мой враг?
1206,She asked him for some money to buy a new dress.,Она попросила у него немного денег на новое платье.
1207,How does the moon shine at night?,Почему Луна светится ночью?
1208,I couldn't understand anything Tom said.,"Я не мог понять ничего, что говорил Том."
1209,You won't need that anymore.,Тебе это больше не понадобится.
1210,Tom did that intentionally.,Том сделал это специально.
1211,Let's think about it.,Давайте подумаем об этом.
1212,I know Tom wants you to do that.,"Я знаю, что Том хочет, чтобы вы это сделали."
1213,Tom denied knowing anything about the robbery.,"Том сказал, что ничего не знает об ограблении."
1214,Have you met everyone here?,Вы знакомы со всеми здесь?
1215,Tom wasn't able to read until he was thirteen.,Том не умел читать до тринадцати лет.
1216,I prefer quail eggs.,Я предпочитаю перепелиные яйца.
1217,She lives in Bumfuck.,Она живёт в Мухосранске.
1218,People who are not smarter than I am don't interest me.,"Те люди, что не умнее меня, меня не интересуют."
1219,Is this your first visit to Australia?,Это твой первый приезд в Австралию?
1220,Owls are wise.,Совы мудры.
1221,Tom asked for some water.,Том попросил немного воды.
1222,The loser was up a break in all three sets he lost.,Проигравший вёл с брейком во всех трёх отданных им сетах.
1223,I can't go with you because I'm very busy.,"Я не могу пойти с тобой, так как я очень занят."
1224,A kilo of figs costs 2.50€.,Килограмм фиг стоит два с половиной евро.
1225,Are there many animals in the zoo?,В зоопарке много животных?
1226,She is the pride of her class.,Она — гордость своего класса.
1227,"If other conditions are equal, the temperature must be the most influential element in this experiment.",При прочих равных условиях температура является в этом эксперименте самым важным фактором.
1228,Tatoeba: Better to make no sense than no sentence!,"Татоэба: Лучше без смысла, чем без предложений!"
1229,What's he talking about?,О чём он говорит?
1230,I haven't seen Tom for a long time.,Я Тома давно не видел.
1231,Tom said that he isn't sleepy yet.,"Том сказал, что ещё не хочет спать."
1232,What floor does Tom live on?,На каком этаже живёт Том?
1233,There are no direct flights to Bologna from here.,Прямых рейсов до Болоньи отсюда нет.
1234,I live in the country.,Я живу за городом.
1235,Give me a few hours.,Дай мне несколько часов.
1236,Don't force yourself to eat if you don't want to.,"Не заставляйте себя есть, если вам не хочется."
1237,I have an errand for Tom.,У меня есть для Тома поручение.
1238,"How did the accident happen? ""Nobody knows.""","Как произошла авария? - ""Никто не знает""."
1239,What do you like about it?,Что вам в нём нравится?
1240,"On arriving at the station, I called a friend of mine.","Приехав на станцию, я позвонил своему другу."
1241,I need to buy an airplane ticket for Moscow.,Мне нужно купить билет на самолёт до Москвы.
1242,We met last week.,Мы познакомились на прошлой неделе.
1243,Don't believe anything he says.,"Не верьте ничему из того, что он говорит."
1244,Tom lost his foreign accent.,Том освободился от своего иностранного акцента.
1245,We all knew it would happen sooner or later.,"Мы все знали, что это рано или поздно произойдёт."
1246,No one disagreed.,Никто не выразил несогласия.
1247,She is running.,Она бежит.
1248,This is a person.,Это человек.
1249,"If the Icelandic language was a colour, I think it would be white.","Будь исландский язык цветом, я думаю, был бы он белым."
1250,Do you know where the meeting will be?,"Вы знаете, где пройдёт встреча?"
1251,I'd like them to be happy.,"Я хотел бы, чтобы они были счастливы."
1252,I want to excuse myself from the work.,Я хочу отпроситься с работы.
1253,Christianity has many adherents.,У христианства много последователей.
1254,Rugs absorb sound.,Коврики поглощают звук.
1255,Tom told me that it's impossible.,"Том сказал мне, что это невозможно."
1256,I think this must be the place where Tom lives.,"Должно быть, это то место, где живёт Том."
1257,Tom is a strange kid.,Том - странный ребёнок.
1258,The telephone was invented by Bell in 1876.,Телефон был изобретён Беллом в 1876-м году.
1259,I fell asleep on his shoulder.,Я уснул у него на плече.
1260,I know you work hard.,"Я знаю, что вы много работаете."
1261,I love Uralic languages.,Я люблю уральские языки.
1262,I hope you're wrong about this.,"Надеюсь, на этот счёт ты заблуждаешься."
1263,Sometimes it's necessary to tell the truth.,Иногда необходимо говорить правду.
1264,Tom's pushy.,Том напорист.
1265,I have a suggestion for you.,У меня к тебе есть предложение.
1266,Did she like that dinner?,Ей понравился ужин?
1267,I think Tom has been crying.,"Думаю, что Том плакал."
1268,Tom and I are planning to get married on October 20th.,Мы с Томом планируем пожениться 20 октября.
1269,"If you want to be alone, I'll leave.","Если вы хотите побыть одни, я уйду."
1270,He has many talents.,У него много талантов.
1271,He is in a bad mood.,Он в плохом настроении.
1272,What would you like to be called?,"Как бы ты хотел, чтобы тебя называли?"
1273,His father is Japanese.,У него отец японец.
1274,Who would want to kill him?,Кто бы захотел убить его?
1275,I was in a rush.,Я спешил.
1276,He says he did nothing illegal.,"Он говорит, что не сделал ничего незаконного."
1277,Tom said he was worn out.,"Том сказал, что измучен."
1278,He sits up studying till late at night.,Он сидит учится до поздней ночи.
1279,Tom's room is very small.,Комната Тома очень маленькая.
1280,Do you speak Italian?,Вы говорите по-итальянски?
1281,The girl smiled at me.,Девушка мне улыбнулась.
1282,That song's bound to be a hit.,Эта песня обречена на успех.
1283,I'll surprise you.,Я тебя удивлю.
1284,We showed them what we can do.,"Мы показали им, что умеем."
1285,I'm proud of him.,Я горжусь им.
1286,I just got home.,Я только до дома добрался.
1287,Tom burns both wood and coal in his stove.,"Том сжигает в своей печи как дерево, так и уголь."
1288,My eyes hurt.,У меня глаза болят.
1289,I like stories.,Я люблю рассказы.
1290,We have to be prepared.,Мы должны быть подготовлены.
1291,What were his first words?,Какими были его первые слова?
1292,"I'll take them with me, OK?","Я возьму их с собой, ладно?"
1293,Tom tossed Mary his keys.,Том бросил Мэри свои ключи.
1294,I talk to him all the time.,Я с ним всё время разговариваю.
1295,I cannot help laughing at her jokes.,Я не могу не смеяться над её шутками.
1296,"Through the prophet Zechariah, God foretold the combination of royal authority and priesthood in Jesus Christ.",Через пророка Захарию Бог предрёк совмещение в Исусе Христе царской власти и священства.
1297,Do you want me to go talk to Tom myself?,"Ты хочешь, чтобы я сам поговорил с Томом?"
1298,We each went to our respective homes.,Каждый из нас пошёл к себе домой.
1299,"The thread is thin but strong, and doesn't break.","Нить тонкая, но крепкая и не рвётся."
1300,This is all a bit silly.,Всё это немного глупо.
1301,I don't know what I want right now.,"В данный момент я не знаю, чего хочу."
1302,This is unbelievable.,Это невероятно.
1303,I think you have sent me a wrong order.,"Думаю, вы прислали мне не тот заказ."
1304,Six to five for the viewers!,Шесть-пять в пользу телезрителей!
1305,I think she is a good dancer.,"Я думаю, она хорошая танцовщица."
1306,Tom is interested in biology.,Том интересуется биологией.
1307,She tried to kill him.,Она пыталась его убить.
1308,Was he really that bad?,Он правда был настолько плох?
1309,Please tell me where you will live.,"Скажи мне, пожалуйста, где ты будешь жить."
1310,They all need attention.,Им всем нужно внимание.
1311,I'm on my own.,Я сам по себе.
1312,He didn't want to talk about it further.,Он больше не хотел говорить об этом.
1313,He looks terrific.,Он выглядит потрясающе.
1314,Tom will help you if you ask him to.,"Том вам поможет, если вы его попросите."
1315,I hope no one saw you come in here.,"Надеюсь, что никто не видел, как ты сюда заходил."
1316,That's Tom's voice.,Это голос Тома.
1317,Can we bring Tom?,Мы можем привести Тома?
1318,Tom said I was ugly.,"Том сказал, что я некрасивая."
1319,Do you cry often?,Ты часто плачешь?
1320,We didn't expect these results.,Мы не ожидали таких результатов.
1321,I've already read it.,Я уже это читала.
1322,"If the car breaks down, we'll walk.","Если машина сломается, пойдём пешком."
1323,Can I touch your hair?,Можно потрогать ваши волосы?
1324,Have you found something interesting?,Нашли что-нибудь интересное?
1325,Everyone does it.,Все это делают.
1326,I often visit my relatives.,Я часто хожу в гости к родственникам.
1327,That person will be read out of our club.,Он будет исключён из нашего клуба.
1328,You must be punished for what you did.,"Ты должна быть наказана за то, что сделала."
1329,They walked upstairs.,Они поднялись по лестнице.
1330,She has to drink water.,Она должна пить воду.
1331,That is one of the ugliest buildings I have ever seen.,"Это одно из самых уродливых зданий, которое я когда-либо видел."
1332,The burglar broke into the post office in broad daylight.,Грабитель ворвался в почтовое отделение среди бела дня.
1333,That's why I left.,Я поэтому и уехала.
1334,Why did you buy a French car?,Почему ты купил французскую машину?
1335,"Tom wants to come, too.",Том тоже хочет прийти.
1336,God willing...,С Божьей помощью...
1337,I don't care much for coffee.,Я не слишком люблю кофе.
1338,My desk is old.,Мой стол стар.
1339,We're both very busy.,Мы оба очень заняты.
1340,It's completely dark.,Тьма непроглядная.
1341,I get everything I want.,"Я получаю всё, что хочу."
1342,Are you glad to meet me?,Вы рады встрече со мной?
1343,I'm coming to pick you up.,Я за тобой заеду.
1344,Tom tried to drown himself in the bathtub.,Том попытался утопиться в ванне.
1345,I'm as tall as Tom.,Мы с Томом одного роста.
1346,I said goodbye.,Я сказал до свидания.
1347,Tom is Mary's younger brother.,Том — младший брат Марии.
1348,You're acting like a fool.,Вы ведёте себя как дурак.
1349,Tom likes to play cards.,Том любит играть в карты.
1350,The book is big.,Книга большая.
1351,Don't talk about Tom like that.,Не говори так о Томе.
1352,I thought I made that clear.,Я вроде ясно выразился.
1353,We've been waiting for three hours.,Мы ждём уже три часа.
1354,It's important that you understand.,"Важно, чтобы ты понимал."
1355,"Times may change, but human nature stay the same.","Времена могут меняться, но человеческая натура всё та же."
1356,Tom seems pretty upset about something.,Том выглядит чем-то изрядно расстроенным.
1357,I brought cookies.,Я принёс печенье.
1358,Tom is going to be teaching French next year.,В следующем году Том будет преподавать французский.
1359,I heard her to the end.,Я выслушал её до конца.
1360,I advised Tom to rest.,Я посоветовал Тому отдохнуть.
1361,Why does it make you angry?,Почему это вас злит?
1362,The worst part of the trip is past.,Худшая часть поездки уже позади.
1363,You'll both be missed.,Нам будет не хватать вас обоих.
1364,Don't be so shy.,Не будь такой застенчивой!
1365,I heard this sentence on the street about an hour ago.,Я услышал эту фразу на улице около часа назад.
1366,He kissed her shoulder.,Он поцеловал её в плечо.
1367,Can't you speak French?,Вы не говорите по-французски?
1368,How dare you do this!,Как ты смеешь это делать!
1369,This knife was very useful to me.,Этот нож очень мне пригодился.
1370,How do you know what I had?,"Откуда ты знаешь, что у меня было?"
1371,It'll only take a minute of your time.,У тебя это займет всего минуту.
1372,It's a situation I would love to change.,Такую ситуацию я бы очень хотел изменить.
1373,We've taken care of everything.,Мы обо всём позаботились.
1374,I used to be very fat.,Я раньше был очень толстым.
1375,They won't be back.,Они не вернутся.
1376,You shouldn't believe either of them.,Ты не должен никому из них верить.
1377,"Sometimes, I feel like a hamster running on a wheel.",Иногда я чувствую себя как белка в колесе.
1378,He never really got over it.,Он так это и не пережил.
1379,Don't you want to go with us?,Не хочешь пойти с нами?
1380,"Tom can swim, can't he?",Том плавать-то умеет?
1381,Just tell them what you need.,"Просто скажи им, что тебе нужно."
1382,We plan to leave as soon as possible.,Мы планируем уехать как можно скорее.
1383,He went skiing in Hokkaido.,Он поехал кататься на лыжах на Хоккайдо.
1384,"Shut the fecking music up and read the book. ""I see my censor spell still works!""","«Заткните свою грёбаную музыку и читайте книгу». — «Вижу, моё цензурящее заклинание все ещё действует!»"
1385,You knew her better than I did.,"Вы знали её лучше, чем я."
1386,I've already discussed it with Tom.,Я уже обсуждал это с Томом.
1387,I sent you the money you asked for.,"Я отправил тебе деньги, которые ты просила."
1388,There's no escape for her.,Для неё нет спасения.
1389,I'm sorry that I did that without you.,"Простите, что сделал это без вас."
1390,Your nose is bleeding.,У вас идёт кровь из носа.
1391,"Mary kissed you, didn't she?","Мэри тебя поцеловала, да?"
1392,I hope Tom is in a good mood.,"Я надеюсь, Том в хорошем настроении."
1393,Soon your efforts will be rewarded.,Вскоре ты будешь вознаграждён за свои усилия.
1394,Tom wants the same thing you do.,"Том хочет того же, что и ты."
1395,We can't just ignore this.,Мы не можем просто игнорировать это.
1396,Where did you and Tom first meet?,Где вы с Томом познакомились?
1397,Where's there a supermarket around here?,Где здесь поблизости супермаркет?
1398,You have to trust me.,Ты должен мне доверять.
1399,Tom didn't recognize Mary.,Том не узнал Мэри.
1400,I don't think I like it.,"Не думаю, что мне это нравится."
1401,"Even if you sing out of tune, join us.",Даже если и фальшивишь — присоединяйся.
1402,Tom wanted to apologize to Mary again.,Том хотел ещё раз попросить у Мэри прощения.
1403,Tom was thoughtful.,Том был задумчив.
1404,You're too young to go there alone.,"Вы слишком молоды, чтобы ехать туда одной."
1405,"Unlike my brother, I cannot swim.","В отличие от своего брата, я не умею плавать."
1406,He never existed.,Его никогда не было.
1407,"I really wish I could go with you, but I can't.","Я правда очень хотел бы с тобой поехать, но не могу."
1408,It had never happened before.,Такого ещё никогда не было.
1409,I wasn't about to do that.,Я не собирался этого делать.
1410,I can't trust you.,Я не могу верить тебе.
1411,I bought some bread.,Я купил хлеба.
1412,"Hurry up, or you'll be late for school.","Давайте быстрей, а то в школу опоздаете."
1413,Have you ever written a book?,Вы когда-то писали книгу?
1414,Tom isn't leaving.,Том не уходит.
1415,Tom and Mary exchanged seats with each other.,Том и Мэри поменялись местами.
1416,How do they put up with you?,Как они тебя выносят?
1417,Where are you going to live?,Где вы собираетесь жить?
1418,"Normally, I'm a very peaceful man. But if my family is threatened, there's no telling what I'll do.","Обычно я мирный человек. Но трудно представить, на что я способен, когда под угрозой находится моя семья."
1419,Mary made Alice a new dress.,Мэри сшила Элис новое платье.
1420,It was hard to make this decision.,Это решение трудно было принять.
1421,I thought you'd be thirsty.,"Я думал, вы захотите пить."
1422,I got what you asked for.,"Я достал то, о чём ты просил."
1423,He said he'd do that.,"Он сказал, что сделает это."
1424,Tom didn't need to leave.,Тому не нужно было уходить.
1425,Mary recovered from her illness.,Мэри поправилась после болезни.
1426,I didn't know where you were.,"Я не знал, где вы."
1427,Where did Tom get that?,Где Том это взял?
1428,Eating meat is bad for your health and for the environment.,Поедание мяса вредит вашему здоровью и окружающей среде.
1429,Are you telling me you don't know anything about this?,"Ты говоришь мне, что ничего об этом не знаешь?"
1430,"What are your plans, Tom?","Какие у тебя планы, Том?"
1431,Tom doesn't know how to enjoy life.,Том не умеет получать удовольствие от жизни.
1432,I want you to put in a good word for me.,"Я хочу, чтобы ты замолвил за меня словечко."
1433,No one loves me.,Меня никто не любит.
1434,I wish I knew Tom's telephone number.,"Жаль, что я не знаю телефон Тома."
1435,"Tom knows. ""He does? Did you tell him?"" ""No, he found out by himself.""","Том в курсе. - ""Да? Ты ему рассказала?"" - ""Нет, он сам всё узнал""."
1436,Your explanation was very easy to understand.,Ваше объяснение было очень понятным.
1437,I slept the rest of the day.,Я проспал остаток дня.
1438,I understand French.,Я понимаю по-французски.
1439,I just bet you were thinking something perverse just now.,"Я просто уверен, что ты только что думал о чём-то пошлом."
1440,The Sahara is the largest source of dust in the world.,Сахара - крупнейший в мире источник пыли.
1441,What do you like best about Boston?,Что вам больше всего нравится в Бостоне?
1442,I feel like being alone.,Мне хочется побыть одной.
1443,They were waiting for the signal to start.,Они ждали сигнала к старту.
1444,I told them not to tell anyone.,"Я сказал им, чтобы они никому не говорили."
1445,We have a lot of things we need to buy.,Нам много чего нужно купить.
1446,I read an interesting book yesterday.,Вчера я читал интересную книгу.
1447,Tom'll pay.,Том заплатит.
1448,You don't need to know why.,Вам не надо знать почему.
1449,My favorite tree is the weeping willow.,Моё любимое дерево - плакучая ива.
1450,I don't have this book.,У меня нет этой книги.
1451,I don't see any difference.,Я не вижу никакой разницы.
1452,What did you study?,Что вы изучаете?
1453,You're hopeless.,Ты безнадёжен.
1454,The Sun is in the center of the solar system.,Солнце находится в центре Солнечной системы.
1455,Are you a policeman?,Вы — полицейский?
1456,Tom let me down and he also let Mary down.,"Том подвёл как меня, так и Мэри."
1457,You shouldn't have said what you said.,"Тебе не следовало говорить то, что ты сказал."
1458,He will come back in a few days.,Он вернётся через несколько дней.
1459,I cut myself with a razor.,Я порезался бритвой.
1460,Tom and Mary seem to be more than just friends.,"Том с Мэри, похоже, больше чем просто друзья."
1461,The river watered the garden.,Река орошала сад.
1462,The strong wind died away at night.,Сильный ветер затих ночью.
1463,Ants and giraffes are distant relatives.,Муравьи и жирафы - дальние родственники.
1464,Tom did that because I told him to.,"Том это сделал, потому что я ему так сказал."
1465,I'm not leaving.,Я не уезжаю.
1466,Who taught you this?,Кто тебя этому научил?
1467,You need him.,Он Вам нужен.
1468,Tom was carrying two suitcases.,Том нёс два чемодана.
1469,Tom didn't seem to recognize me.,"Том, похоже, меня не узнавал."
1470,There's someone missing.,Кого-то не хватает.
1471,I'll tell her myself.,Я сама ей скажу.
1472,When will you leave?,Когда ты уезжаешь?
1473,Be careful not to slip.,Смотри не поскользнись.
1474,The mountain is green.,Гора зелёная.
1475,I have my own theory.,У меня есть собственная теория.
1476,I just had a talk with your teacher.,У меня только что был разговор с твоей учительницей.
1477,I've got used to going to bed early.,Я привык рано ложиться.
1478,Do you really think I wouldn't help you?,"Неужели вы думаете, я бы вам не помог?"
1479,Tom is at the office.,Том в офисе.
1480,All Tom does is watch TV.,"Всё, что делает Том, — это смотрит телевизор."
1481,Tom is in a good mood today.,Том сегодня в хорошем настроении.
1482,This is the best tasting pear I've ever eaten.,"Это самая вкусная груша из всех, которые я ел."
1483,I had trouble parking.,У меня были проблемы с парковкой.
1484,I'd like you to meet my husband.,"Я бы хотела, чтобы ты познакомился с моим мужем."
1485,You can't do this.,Вы не можете этого сделать.
1486,It is not mine.,Она не моя.
1487,Do you know what it is?,"Ты знаешь, что это?"
1488,Ottawa is the capital of Canada.,Оттава — столица Канады.
1489,Tom was never late for school.,Том никогда не опаздывал в школу.
1490,Why are you being so stubborn?,Почему ты такой упрямый?
1491,Go ask your father.,Идите у отца спросите.
1492,Do you still want to go?,Ты всё ещё хочешь пойти?
1493,The teacher put a short comment on each paper.,Учитель написал краткий комментарий на каждом листе.
1494,It's hard to take you seriously.,Тебя трудно принимать всерьёз.
1495,Members of that tribe settled along the river.,Члены этого племени селились вдоль реки.
1496,I'll fix this.,Я починю это.
1497,I said let them go.,"Я сказал, отпустите их."
1498,When does it start?,Когда начало?
1499,No one cares what she thinks.,"Никому нет дела до того, что она думает."
1500,I don't think it's strange at all.,Мне это вовсе не кажется странным.
1501,"How did you get my phone number? ""Tom gave it to me.""","Откуда у вас мой телефон? - ""Том дал""."
1502,When will you harvest your wheat?,Когда вы будете убирать пшеницу?
1503,Tom told Mary that he was ready to do that.,"Том сказал Мэри, что он готов это сделать."
1504,Does it make sense to fix this?,Есть ли смысл это чинить?
1505,Why are you locking the door?,Почему вы запираете дверь?
1506,Tom said that he's tried doing that three times.,"Том сказал, что трижды пытался это сделать."
1507,He thinks that I am in love with her.,"Он думает, что я влюблён в неё."
1508,The plane takes off at 8:00 a.m.,Самолёт вылетает в восемь часов утра.
1509,We can give it a try.,Мы можем попытаться.
1510,Give it to her.,Дай его ей.
1511,I want to live in Australia.,Я хочу жить в Австралии.
1512,You suck at writing code.,Ты не умеешь писать программы.
1513,Change the subject.,Смените тему.
1514,I love to travel around the world.,Я люблю путешествовать вокруг света.
1515,Tom understands.,Том понимает.
1516,"Tom isn't big, but he's strong.","Том невысокий, но сильный."
1517,"It's cool this morning, isn't it?","Сегодня утром прохладно, не так ли?"
1518,It was a very romantic kiss.,Это был очень романтичный поцелуй.
1519,She made dinner.,Она приготовила ужин.
1520,Please find Tom.,"Найди, пожалуйста, Тома."
1521,He'll give it to you.,Он даст его вам.
1522,This sentence isn't written clearly.,Это предложение неясно написано.
1523,What would you do now?,Что бы ты стал делать?
1524,He disappeared in the crowd.,Он исчез в толпе.
1525,Don't you understand what's happening?,"Вы что, не понимаете, что происходит?"
1526,I'm glad I've found you.,"Я рада, что нашла тебя."
1527,Tom is an ambitious young man.,Том - амбициозный молодой человек.
1528,Do you think you're obese?,Ты считаешь себя толстым?
1529,Tom divorced Mary last year.,Том развёлся с Мэри в прошлом году.
1530,Where did you hide my cigarettes?,Куда ты спрятал мои сигареты?
1531,This lesson is never-ending!,Этот урок нескончаемый!
1532,This box weighs a ton. What's inside?,Этот ящик весит тонну. Что внутри?
1533,He gets everything because he's a brown-noser.,"Он всё получает, потому что он жополиз."
1534,"Sorry, I didn't hear you.","Прости, я тебя не слышала."
1535,He says he's never met her.,"Он говорит, что никогда её не встречал."
1536,It looked like he was going to kiss me.,"Казалось, что он собирается меня поцеловать."
1537,Don't yell at me.,Не орите на меня.
1538,Are you enjoying yourself?,Тебе весело?
1539,That's not very likely to happen.,Это вряд ли произойдёт.
1540,I'll order that later.,Я закажу это позже.
1541,Didn't you know that Tom was going to Boston?,"Ты не знал, что Том едет в Бостон?"
1542,This school is ours.,Это наша школа.
1543,"I was free all day yesterday, but today I'm working.","Вчера я весь день был свободен, а сегодня работаю."
1544,Take your coat. It's cold today.,Возьми своё пальто. Сегодня холодно.
1545,"Come to think of it, I really need a cellphone.","Если подумать, мне действительно нужен мобильный телефон."
1546,Don't lose your patience.,Не теряй терпение.
1547,Why is Tom angry?,Почему Том злится?
1548,What a horrible man!,Какой ужасный человек!
1549,Cardboard is stronger than paper.,Картон прочнее бумаги.
1550,Don't be angry with him.,Не сердись на него.
1551,You have overstepped your authority.,Ты превысил свои полномочия.
1552,The curse was broken.,Проклятие было разрушено.
1553,Tom's great-grandfather was born blind.,Прадед Тома родился слепым.
1554,"Tom is taller than you, isn't he?",Том ведь выше тебя?
1555,She injured her back playing tennis.,"Она повредила спину, играя в теннис."
1556,Tom scares easy.,Том легко пугается.
1557,This table is white.,Этот стол белый.
1558,It was a weird game.,Это была странная игра.
1559,I've heard about all your problems.,Я слышал обо всех твоих проблемах.
1560,I've known him for one year.,Я знаю его уже год.
1561,I'm going with you to Boston.,Я еду с вами в Бостон.
1562,Let me speak to Tom.,Дай мне поговорить с Томом.
1563,They went to a resort in the mountains last summer.,Прошлым летом они ездили на горный курорт.
1564,Could you please tell me where the nearest church is?,"Вы не подскажете, где находится ближайшая церковь?"
1565,Stay away from there.,Держись оттуда подальше.
1566,Tom and Mary aren't afraid.,Том и Мэри не боятся.
1567,Can you come closer?,Можете подойти ближе?
1568,She's a bit shy.,Она слегка застенчива.
1569,What are you expecting Tom to do?,Каких действий ты ожидаешь от Тома?
1570,She seemed perfectly calm.,Она казалась совершенно спокойной.
1571,Push the button.,Нажмите на кнопку.
1572,Tom visited the museum with Mary.,Том сходил с Мэри в музей.
1573,Tom was intrigued by what was happening.,Том был заинтригован происходящим.
1574,Mary wore knee-high boots.,Мэри носила сапоги до колена.
1575,This is a lie.,Это ложь.
1576,I'll keep an eye on them.,Я за ними прослежу.
1577,She said she had a cold.,"Она сказала, что простудилась."
1578,The traffic warden was extremely rude.,Дорожный инспектор был крайне груб.
1579,Tom wants to follow in his father's footsteps.,Том хочет пойти по стопам отца.
1580,I don't see the problem here.,Не вижу здесь проблемы.
1581,I don't have to do that tomorrow.,Мне необязательно делать это завтра.
1582,He lost his sunglasses.,Он потерял свои солнечные очки.
1583,It's awfully bitter.,Оно ужасно горькое.
1584,Did Tom tell you where he was last night?,"Том сказал тебе, где он был прошлой ночью?"
1585,I could pick you up on my way to work.,Я могу подобрать тебя по дороге на работу.
1586,I don't know what you're talking about!,"Я не знаю, о чём Вы!"
1587,Tom was first last time.,В прошлый раз Том был первым.
1588,Everyone is different.,Все разные.
1589,I must see you.,Я должен увидеть тебя.
1590,I've lost your phone number.,Я потерял ваш телефон.
1591,Plant a tree over here.,Посадите дерево вон там.
1592,Do you usually wear a bike helmet?,Вы обычно надеваете велосипедный шлем?
1593,Tom will fix it.,Том это починит.
1594,Tom said goodbye to his sister.,Том попрощался с сестрой.
1595,My mother was busy cooking the dinner.,Мать была занята готовкой ужина.
1596,I don't understand what you are trying to say.,"Я не понимаю, что ты пытаешься сказать."
1597,Small pots have long handles.,У маленьких горшков длинные ручки.
1598,Tom was wearing sandals.,Том был в сандалиях.
1599,There is a bench under the tree.,Под деревом стоит скамейка.
1600,Let me tell you what I want you to do.,"Позволь мне рассказать тебе, что я от тебя хочу."
1601,Are you going to stop me?,Вы собираетесь меня остановить?
1602,What do you think about my short story?,Как вам мой рассказ?
1603,Tom turned off his alarm and went back to sleep.,Том отключил будильник и снова уснул.
1604,Tom and Mary look tired.,Том с Мэри выглядели уставшими.
1605,I heard you singing.,"Я слышал, как ты пел."
1606,I'm friends with Tom.,Мы с Томом друзья.
1607,How well did you know him?,Насколько хорошо вы его знали?
1608,Tom often plays the guitar.,Том часто играет на гитаре.
1609,I tried to warn Tom.,Я пытался предупредить Тома.
1610,The train was packed.,Поезд был заполнен.
1611,Tom seldom wears a tie.,Том редко носит галстук.
1612,You bought too much bread.,Ты купил слишком много хлеба.
1613,He says he's not planning to go.,"Он говорит, что не планирует ехать."
1614,"I have two dogs, three cats, and six chickens.","У меня две собаки, три кошки и шесть цыплят."
1615,Does Tom have cable?,У Тома есть кабель?
1616,"No matter what you may say, I will not change my mind.","Что бы ты ни сказал, я не изменю своего мнения."
1617,Tom can talk.,Том может говорить.
1618,Thank him for the help.,Поблагодарите его за помощь.
1619,Tom could've told me.,Том мог мне сказать.
1620,It will bring down trouble on your family.,Это принесет несчастье твоей семье.
1621,I was very nervous.,Я очень нервничал.
1622,Tom said that I had to go.,"Том сказал, что мне надо идти."
1623,I have to win.,Я должен победить.
1624,There is no use in asking him for assistance.,Бесполезно просить его о помощи.
1625,Mary tried to sell her house.,Мэри пыталась продать свой дом.
1626,You have to try to stay awake.,Вам надо постараться не уснуть.
1627,My mom helps me a lot.,Мама мне очень помогает.
1628,Tom has a tattoo of a snake on his back.,У Тома на спине вытатуирована змея.
1629,Did you buy any meat in the supermarket?,Ты купил мясо в супермаркете?
1630,He hit me by mistake.,Он ударил меня по ошибке.
1631,What's this dog's name?,Как зовут эту собаку?
1632,Walk on the pavement.,Ходи по тротуару.
1633,I don't think Tom knows who Mary's father is.,"Не думаю, что Том знает, кто отец Мэри."
1634,It's raining cats and dogs.,"Дождь льёт, как из ведра."
1635,The whole country is talking about it.,Вся страна об этом говорит.
1636,I can't wait to tell him.,Мне не терпится ему рассказать.
1637,Happiness can't be bought.,Счастье не купишь.
1638,Tom grew up in an orphanage.,Том вырос в детском доме.
1639,I don't want to watch this video.,Я не хочу смотреть это видео.
1640,Is the poorest country in the European Union poorer than the poorest state in the United States?,Беднейшая страна ЕС беднее самого бедного штата США?
1641,Give my regards to Tom.,Передавай Тому от меня привет.
1642,I want to thank you for what you did for Tom.,"Я хочу поблагодарить тебя за то, что ты сделал для Тома."
1643,I ran into my friend.,Я наткнулся на своего друга.
1644,Do you work with Tom?,Вы работаете с Томом?
1645,They voted.,Они проголосовали.
1646,Aren't you the only one who has a key to this door?,"Вы не единственный, у кого есть ключ от этой двери?"
1647,When did you ask her?,Когда ты спросил её?
1648,I remember Tom.,Я помню Тома.
1649,We were just about to enter the room.,Мы как раз собирались войти в комнату.
1650,I feel flattered.,Я чувствую себя польщённой.
1651,Don't put salt on my wounds!,Не сыпь мне соль на раны!
1652,We're not afraid.,Нам не страшно.
1653,Do you think we'll win?,"Вы думаете, мы победим?"
1654,Your shoelaces are untied.,У Вас шнурки развязались.
1655,What do Tom and Mary teach?,Что преподают Том и Мэри?
1656,Why did you park here?,Зачем ты тут припарковалась?
1657,I eat and drink.,Я ем и пью.
1658,Tom used to be a street musician.,Раньше Том был уличным музыкантом.
1659,Tom isn't trying to impress you.,Том не пытается произвести на вас впечатление.
1660,How many aunts do you have?,Сколько у вас тёток?
1661,I need to ask Tom what he'll do.,"Мне нужно спросить Тома, что он будет делать."
1662,Tom removed his pistol from his shoulder holster and laid it on the table.,Том вынул пистолет из наплечной кобуры и положил его на стол.
1663,That program is still far from perfect.,Эта программа всё ещё далека от совершенства.
1664,Can you repeat what you said?,"Ты можешь повторить то, что сказал?"
1665,This scientific theory is controversial.,Эта научная теория является спорной.
